scan_utc,volcano,wwlln_id,inner_strokes,outer_strokes,alert,n_stroke_positions
2026-04-23T21:24:07.040314+00:00,Sollipulli,1507-111,0,0,GREEN,0
2026-04-23T21:24:07.040314+00:00,Villarrica,1507-12-,0,0,GREEN,0
2026-04-23T21:24:07.040314+00:00,Quetrupillan,1507-121,0,0,GREEN,0
2026-04-23T21:24:07.040314+00:00,Lanin,1507-122,0,0,GREEN,0
2026-04-23T21:24:07.040314+00:00,Mocho-Choshuenco,1507-13-,0,0,GREEN,0
2026-04-23T21:24:07.040314+00:00,Carran - Los Venados,1507-14-,0,0,GREEN,0
2026-04-23T21:24:07.040314+00:00,Puyehue - Cordon Caulle,1507-15-,0,0,GREEN,0
2026-04-23T21:24:07.040314+00:00,Antillanca - Casablanca,1507-153,0,0,GREEN,0
2026-04-23T21:24:07.040314+00:00,Osorno,1508-01-,0,0,GREEN,0
2026-04-23T21:24:07.040314+00:00,Calbuco,1508-02-,0,0,GREEN,0
2026-04-23T21:24:07.040314+00:00,Yate,1508-022,0,0,GREEN,0
2026-04-23T21:24:07.040314+00:00,Hornopiren,1508-023,0,0,GREEN,0
2026-04-23T21:24:07.040314+00:00,Huequi,1508-03-,0,0,GREEN,0
2026-04-23T21:24:07.040314+00:00,Michinmahuida,1508-04-,0,0,GREEN,0
2026-04-23T21:24:07.040314+00:00,Chaiten,1508-041,0,0,GREEN,0
2026-04-23T21:24:07.040314+00:00,Corcovado,1508-05-,0,0,GREEN,0
2026-04-23T21:24:07.040314+00:00,Melimoyu,1508-052,0,0,GREEN,0
2026-04-23T21:24:07.040314+00:00,Mentolat,1508-054,0,0,GREEN,0
2026-04-23T21:24:07.040314+00:00,Cay,1508-055,0,0,GREEN,0
2026-04-23T21:24:07.040314+00:00,Maca,1508-056,0,0,GREEN,0
2026-04-23T21:24:07.040314+00:00,Hudson,1508-057,0,0,GREEN,0
2026-04-23T21:24:07.040314+00:00,Acatenango,1402-09-,0,290,GREEN,290
2026-04-23T21:24:07.040314+00:00,Fuego,1402-10-,1,281,YELLOW,283
2026-04-23T21:24:07.040314+00:00,Agua,1402-111,30,194,YELLOW,254
2026-04-23T22:07:58.495337+00:00,Taapaca,1505-011,0,12,GREEN,12
2026-04-23T22:07:58.495337+00:00,Parinacota,1505-012,0,16,GREEN,16
2026-04-23T22:07:58.495337+00:00,Guallatiri,1505-02-,0,16,GREEN,16
2026-04-23T22:07:58.495337+00:00,Isluga,1505-03-,0,4,GREEN,4
2026-04-23T22:07:58.495337+00:00,Irruputuncu,1505-04-,0,0,GREEN,0
2026-04-23T22:07:58.495337+00:00,Ollague,1505-06-,0,0,GREEN,0
2026-04-23T22:07:58.495337+00:00,San Pedro,1505-07-,0,0,GREEN,0
2026-04-23T22:07:58.495337+00:00,Lascar,1505-10-,0,0,GREEN,0
