scan_utc,volcano,wwlln_id,inner_strokes,outer_strokes,alert,n_stroke_positions
2026-08-01T00:00:42.885495+00:00,Callaqui,1507-091,0,0,GREEN,0
2026-08-01T00:00:42.885495+00:00,Lonquimay,1507-10-,0,0,GREEN,0
2026-08-01T00:00:42.885495+00:00,Llaima,1507-11-,0,0,GREEN,0
2026-08-01T00:00:42.885495+00:00,Sollipulli,1507-111,0,0,GREEN,0
2026-08-01T00:00:42.885495+00:00,Villarrica,1507-12-,0,0,GREEN,0
2026-08-01T00:00:42.885495+00:00,Quetrupillan,1507-121,0,0,GREEN,0
2026-08-01T00:00:42.885495+00:00,Lanin,1507-122,0,0,GREEN,0
2026-08-01T00:00:42.885495+00:00,Mocho-Choshuenco,1507-13-,0,0,GREEN,0
2026-08-01T00:00:42.885495+00:00,Carran - Los Venados,1507-14-,0,0,GREEN,0
2026-08-01T00:00:42.885495+00:00,Puyehue - Cordon Caulle,1507-15-,0,0,GREEN,0
2026-08-01T00:00:42.885495+00:00,Antillanca - Casablanca,1507-153,0,0,GREEN,0
2026-08-01T00:00:42.885495+00:00,Osorno,1508-01-,0,0,GREEN,0
2026-08-01T00:00:42.885495+00:00,Calbuco,1508-02-,0,0,GREEN,0
2026-08-01T00:00:42.885495+00:00,Yate,1508-022,0,0,GREEN,0
2026-08-01T00:00:42.885495+00:00,Hornopiren,1508-023,0,0,GREEN,0
2026-08-01T00:00:42.885495+00:00,Huequi,1508-03-,0,0,GREEN,0
2026-08-01T00:00:42.885495+00:00,Michinmahuida,1508-04-,0,0,GREEN,0
2026-08-01T00:00:42.885495+00:00,Chaiten,1508-041,0,0,GREEN,0
2026-08-01T00:00:42.885495+00:00,Corcovado,1508-05-,0,0,GREEN,0
2026-08-01T00:00:42.885495+00:00,Melimoyu,1508-052,0,0,GREEN,0
2026-08-01T00:00:42.885495+00:00,Mentolat,1508-054,0,0,GREEN,0
2026-08-01T00:00:42.885495+00:00,Cay,1508-055,0,0,GREEN,0
2026-08-01T00:00:42.885495+00:00,Maca,1508-056,0,0,GREEN,0
2026-08-01T00:00:42.885495+00:00,Hudson,1508-057,0,0,GREEN,0
2026-08-01T00:00:42.885495+00:00,Wai Sano (IDN),0604-06-,0,0,GREEN,0
2026-08-01T00:00:42.885495+00:00,Ranakah (IDN),0604-071,0,0,GREEN,0
2026-08-01T00:00:42.885495+00:00,Ambrym (VUT),0507-04-,0,0,GREEN,0
